Model,Spec,Price
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 2MP | 13MP Front Camera
5000 mAh Lithium Ion Battery
Exynos 1330 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories","₹10,999"
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 2MP | 13MP Front Camera
5000 mAh Lithium Ion Battery
Exynos 1330 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories","₹10,999"
"vivo T3 Lite 5G (Vibrant Green, 128 GB)","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.66 cm (6.56 inch) Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹10,499"
"vivo T3 Lite 5G (Majestic Black, 128 GB)","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.66 cm (6.56 inch) Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹10,499"
"Infinix Note 40X 5G (Starlit Black, 256 GB)","12 GB RAM | 256 GB ROM | Expandable Upto 1 TB
17.22 cm (6.78 inch) Full HD+ Display
108MP + 2MP + AI Lens | 8MP Front Camera
5000 mAh Lithium-ion Polymer Battery
Dimensity 6300 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories","₹13,999"
"SAMSUNG Galaxy A14 5G (Black, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 2MP | 13MP Front Camera
5000 mAh Lithium Ion Battery
Exynos 1330 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories","₹10,999"
"vivo T3 Lite 5G (Majestic Black, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.66 cm (6.56 inch) Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹11,499"
"REDMI 13C 5G (Starlight Black, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.12 cm (6.74 inch) HD+ Display
50MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Mediatek Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","₹11,499"
"vivo T3 Lite 5G (Vibrant Green, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.66 cm (6.56 inch) Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹11,499"
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) HD Display
32MP + 2MP | 8MP Front Camera
5100 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹12,999"
"Infinix Note 40 Pro 5G (Vintage Green, 256 GB)","8 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
108MP (OIS) + 2MP + 2MP | 32MP Front Camera
5000 mAh Battery
Mediatek Dimensity 7020 Processor
1 Year Warranty on Handset and 6 Months Warranty on Inbox Accessories","₹19,999"
"Infinix Hot 50 5G (Sage Green, 128 GB)","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.02 cm (6.7 inch) HD+ Display
48MP + Depth Sensor | 8MP Front Camera
5000 mAh Lithium-ion Polymer Battery
Dimensity 6300 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories","₹10,999"
"Motorola G85 5G (Viva Magenta, 128 GB)","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Full HD+ Display
50MP + 8MP | 32MP Front Camera
5000 mAh Battery
6s Gen 3 Processor
1 Year on Handset and 6 Months on Accessories","₹17,999"
"Motorola g64 5G (Ice Lilac, 128 GB)","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
50MP (OIS) + 8MP | 16MP Front Camera
6000 mAh Battery
Dimensity 7025 Processor
1 Year on Handset and 6 Months on Accessories","₹14,999"
"Motorola g45 5G (Viva Magenta, 128 GB)","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 6s Gen 3 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories","₹12,999"
"Motorola g45 5G (Brilliant Green, 128 GB)","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 6s Gen 3 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories","₹12,999"
"Infinix Note 40 Pro 5G (Obsidian Black, 256 GB)","8 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
108MP (OIS) + 2MP + 2MP | 32MP Front Camera
5000 mAh Battery
Mediatek Dimensity 7020 Processor
1 Year Warranty on Handset and 6 Months Warranty on Inbox Accessories","₹19,999"
"Infinix Note 40 5G (Racing Grey, 256 GB)","8 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
108MP + 2MP + 2MP | 32MP Front Camera
5000 mAh Battery
Dimensity 7020 Processor
1 Year on Handset","₹19,999"
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) HD Display
32MP + 2MP | 8MP Front Camera
5100 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹12,999"
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) HD Display
32MP + 2MP | 8MP Front Camera
5100 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹12,999"
"Infinix Note 40 Pro 5G (Racing Grey, 256 GB)","8 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
108MP (OIS) + 2MP + 2MP | 32MP Front Camera
5000 mAh Battery
Mediatek Dimensity 7020 Processor
1 Year Warranty on Handset and 6 Months Warranty on Inbox Accessories","₹19,999"
"Motorola G85 5G (Olive Green, 128 GB)","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Full HD+ Display
50MP + 8MP | 32MP Front Camera
5000 mAh Battery
6s Gen 3 Processor
1 Year on Handset and 6 Months on Accessories","₹17,999"
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) HD Display
32MP + 2MP | 8MP Front Camera
5100 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹15,999"
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 256 GB)","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) HD Display
32MP + 2MP | 8MP Front Camera
5100 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹15,999"
